Date mutation,Nature mutation,Valeur fonciere,Code postal,Code departement,Voie,Surface reelle bati,Nombre pieces principales,Type local,Surface terrain,voie_ALL,voie_AV,voie_CHE,voie_RUE
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,41.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,61.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,41.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,61.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,41.0,2.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,51.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,51.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,61.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,72.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,63.0,4.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,74.0,5.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,51.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,53.0,3.0,Appartement,11310.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,0.0,0.0,Dépendance,17969.0,False,False,False,True
01/03/2023,Vente,118800.00,93000,93,D ALESIA,43.0,2.0,Appartement,17969.0,False,False,False,True
